# Channel	Counts	Error	Energy (keV)
227	481	22.0227	702.202
228	443	21.1896	705.295
229	356	18.9209	708.389
230	324	18.1108	711.482
231	292	17.2047	714.575
232	235	15.3948	717.669
233	194	14.4222	720.762
234	176	13.2665	723.856
235	127	11.2694	726.949
236	134	11.8322	730.042
237	104	10.3923	733.136
238	98	10.3923	736.229
239	74	8.7178	739.323
240	77	8.8882	742.416
241	67	8.5440	745.509
242	68	8.2462	748.603
243	74	8.8318	751.696
244	57	7.9373	754.790
245	39	6.2450	757.883
246	40	6.9282	760.976
247	62	8.0000	764.070
248	39	6.8557	767.163
249	39	6.7082	770.257
250	30	5.6569	773.350
251	43	6.5574	776.443
252	49	7.4162	779.537
253	26	5.2915	782.630
254	29	5.3852	785.724
255	44	6.9282	788.817
256	33	5.7446	791.910
257	23	5.0000	795.004
258	31	5.7446	798.097
259	37	6.2450	801.191
260	26	5.8310	804.284
261	33	5.9161	807.377
262	27	5.7446	810.471
263	25	5.1962	813.564
264	34	5.8310	816.658
265	35	5.9161	819.751
266	20	4.8990	822.844
267	22	4.6904	825.938
268	17	4.5826	829.031
269	25	5.0000	832.125
270	26	5.2915	835.218
271	19	4.5826	838.311
272	23	5.0000	841.405
273	30	5.4772	844.498
274	21	4.5826	847.592
275	25	5.0000	850.685
276	18	4.2426	853.778
277	17	4.3589	856.872
278	19	4.5826	859.965
279	17	4.1231	863.059
280	18	4.4721	866.152
281	14	4.0000	869.245
282	16	4.6904	872.339
283	19	4.3589	875.432
284	17	4.1231	878.526
285	14	4.4721	881.619
286	12	3.7417	884.712
287	10	3.4641	887.806
288	11	3.8730	890.899
289	20	4.4721	893.993
290	7	3.3166	897.086
291	8	3.4641	900.179
292	11	3.3166	903.273
293	12	3.4641	906.366
294	17	4.3589	909.460
295	9	3.6056	912.553
296	11	3.6056	915.646
297	12	3.7417	918.740
298	0	1.4142	921.833
299	12	4.0000	924.927
300	4	2.4495	928.020
301	10	3.7417	931.113
302	11	3.3166	934.207
303	3	2.2361	937.300
304	12	3.4641	940.394
305	10	3.1623	943.487
306	8	2.8284	946.580
307	6	3.1623	949.674
308	2	2.8284	952.767
309	11	3.6056	955.861
310	7	2.6458	958.954
311	7	3.0000	962.047
312	0	2.4495	965.141
313	5	2.2361	968.234
314	5	2.6458	971.328
315	5	2.6458	974.421
316	7	2.6458	977.514
317	6	2.4495	980.608
318	0	1.7321	983.701
319	4	2.0000	986.795
320	4	2.4495	989.888
321	2	2.0000	992.981
322	1	1.7321	996.075
323	2	1.4142	999.168
324	3	1.7321	1002.262
325	5	2.2361	1005.355
326	3	1.7321	1008.448
327	3	1.7321	1011.542
328	3	1.7321	1014.635
329	4	2.0000	1017.729
330	4	2.0000	1020.822
331	2	1.4142	1023.915
332	2	1.4142	1027.009
333	2	1.4142	1030.102
334	0	0.0000	1033.196
335	4	2.0000	1036.289
336	2	1.4142	1039.382
337	1	1.0000	1042.476
338	1	1.7321	1045.569
339	1	1.0000	1048.663
340	3	1.7321	1051.756
341	2	1.4142	1054.849
342	0	1.4142	1057.943
343	2	1.4142	1061.036
