# Channel	Counts	Error	Energy (keV)
235	350	18.7083	726.949
236	339	18.5742	730.042
237	326	18.1659	733.136
238	344	18.8149	736.229
239	301	17.4069	739.323
240	360	19.0263	742.416
241	323	18.1384	745.509
242	279	16.7033	748.603
243	303	17.5214	751.696
244	324	18.1659	754.790
245	327	18.0831	757.883
246	310	17.8326	760.976
247	320	17.9444	764.070
248	308	17.7764	767.163
249	296	17.3781	770.257
250	288	17.0294	773.350
251	278	16.6733	776.443
252	304	17.6068	779.537
253	307	17.5784	782.630
254	264	16.2481	785.724
255	319	17.9722	788.817
256	258	16.0624	791.910
257	243	15.6525	795.004
258	254	16.0000	798.097
259	244	15.6844	801.191
260	274	16.7929	804.284
261	265	16.3401	807.377
262	251	16.0312	810.471
263	259	16.1555	813.564
264	279	16.7033	816.658
265	247	15.7162	819.751
266	244	15.7480	822.844
267	237	15.3948	825.938
268	238	15.5563	829.031
269	250	15.8114	832.125
270	256	16.0624	835.218
271	235	15.3948	838.311
272	261	16.2173	841.405
273	229	15.1327	844.498
274	226	15.0333	847.592
275	195	13.9642	850.685
276	222	14.8997	853.778
277	220	14.8997	856.872
278	209	14.5258	859.965
279	225	15.0000	863.059
280	209	14.5258	866.152
281	198	14.1421	869.245
282	205	14.5258	872.339
283	208	14.4222	875.432
284	216	14.6969	878.526
285	192	14.0712	881.619
286	200	14.2127	884.712
287	204	14.3527	887.806
288	201	14.3178	890.899
289	187	13.6748	893.993
290	196	14.1421	897.086
291	192	14.0000	900.179
292	177	13.3041	903.273
293	171	13.0767	906.366
294	156	12.5698	909.460
295	201	14.3178	912.553
296	214	14.6969	915.646
297	184	13.6382	918.740
298	171	13.1529	921.833
299	146	12.2474	924.927
300	174	13.2665	928.020
301	164	12.9615	931.113
302	167	12.9228	934.207
303	167	13.0000	937.300
304	170	13.0384	940.394
305	167	12.9228	943.487
306	152	12.3288	946.580
307	164	12.9615	949.674
308	163	13.0000	952.767
309	134	11.6619	955.861
310	165	12.8452	958.954
311	135	11.7047	962.047
312	143	12.2066	965.141
313	145	12.0416	968.234
314	156	12.5698	971.328
315	151	12.3693	974.421
316	147	12.1244	977.514
317	130	11.4018	980.608
318	120	11.2250	983.701
319	137	11.7047	986.795
320	143	12.0416	989.888
321	126	11.3137	992.981
322	111	10.6301	996.075
323	122	11.0454	999.168
324	119	10.9087	1002.262
325	128	11.3137	1005.355
326	131	11.4455	1008.448
327	120	10.9545	1011.542
328	119	10.9087	1014.635
329	107	10.3441	1017.729
330	99	9.9499	1020.822
331	109	10.4403	1023.915
332	121	11.0000	1027.009
333	132	11.4891	1030.102
334	82	9.0554	1033.196
