# Channel Number	Net Counts	Error
340	83	9.1104
341	72	8.4853
342	88	9.4868
343	112	10.5830
344	85	9.2195
345	94	9.6954
346	85	9.2195
347	93	9.8489
348	68	8.3666
349	94	9.6954
350	73	8.6603
351	82	9.0554
352	81	9.0000
353	78	8.8318
354	91	9.5394
355	82	9.0554
356	67	8.3066
357	78	8.9443
358	82	9.1652
359	73	8.6603
360	70	8.3666
361	65	8.0623
362	79	8.8882
363	86	9.2736
364	61	7.9373
365	81	9.0000
366	70	8.4853
367	92	9.5917
368	63	7.9373
369	77	8.8882
370	62	8.0000
371	72	8.4853
372	66	8.1240
373	57	7.6811
374	56	7.4833
375	58	7.6158
376	52	7.2111
377	70	8.4853
378	46	6.7823
379	66	8.1240
380	37	6.0828
381	53	7.4162
382	58	7.6158
383	53	7.2801
384	59	7.8102
385	61	7.9373
386	51	7.1414
387	50	7.0711
388	46	6.7823
389	38	6.1644
390	34	5.8310
391	37	6.0828
392	50	7.0711
393	48	6.9282
394	37	6.0828
395	37	6.2450
396	41	6.4031
397	43	6.5574
398	43	6.5574
399	51	7.1414
400	41	6.4031
401	29	5.3852
402	23	4.7958
403	29	5.5678
404	25	5.0000
405	29	5.3852
406	28	5.2915
407	24	4.8990
408	32	5.6569
409	50	7.0711
410	33	5.7446
411	36	6.0000
412	33	5.7446
413	30	5.4772
414	28	5.2915
415	23	4.7958
416	14	3.7417
417	25	5.0000
418	19	4.3589
419	29	5.3852
420	19	4.3589
421	28	5.2915
422	24	4.8990
423	24	4.8990
424	17	4.1231
425	24	4.8990
426	20	4.4721
427	18	4.2426
428	15	3.8730
429	22	4.6904
430	19	4.3589
431	22	4.6904
432	17	4.1231
433	17	4.1231
434	17	4.1231
435	10	3.1623
436	10	3.1623
437	16	4.0000
438	16	4.0000
439	15	3.8730
440	12	3.4641
441	6	2.4495
442	13	3.6056
443	13	3.6056
444	13	3.6056
445	13	3.6056
446	11	3.3166
447	5	2.2361
448	9	3.0000
449	8	2.8284
450	7	2.6458
451	12	3.4641
452	5	2.2361
453	9	3.3166
454	10	3.1623
455	8	2.8284
456	7	2.6458
457	7	2.6458
458	5	2.2361
459	5	2.6458
460	7	2.6458
461	6	2.4495
462	7	3.0000
463	10	3.1623
464	4	2.4495
465	6	2.4495
466	8	2.8284
467	3	1.7321
468	6	2.4495
469	7	2.6458
470	6	2.4495
471	7	2.6458
472	3	1.7321
473	7	2.6458
474	5	2.2361
475	5	2.2361
476	4	2.0000
477	8	2.8284
478	6	2.8284
479	2	1.4142
480	6	2.4495
481	8	2.8284
482	2	1.4142
483	5	2.2361
484	2	1.4142
485	5	2.2361
486	5	2.2361
487	0	0.0000
488	1	1.0000
489	4	2.0000
490	2	1.4142
491	5	2.2361
492	1	1.0000
493	2	1.4142
494	2	1.4142
495	3	1.7321
496	1	1.0000
497	5	2.2361
498	3	1.7321
499	0	0.0000
500	4	2.0000
501	0	0.0000
502	0	1.0000
503	1	1.0000
504	1	1.0000
505	1	1.0000
506	1	1.0000
507	0	0.0000
508	1	1.0000
509	1	1.0000
510	1	1.0000
511	2	2.4495
