# Channel	Counts	Error	Energy (keV)
227	481	22.0227	702.20
228	443	21.1896	705.30
229	356	18.9209	708.39
230	324	18.1108	711.48
231	292	17.2047	714.58
232	235	15.3948	717.67
233	194	14.4222	720.76
234	176	13.2665	723.86
235	127	11.2694	726.95
236	134	11.8322	730.04
237	104	10.3923	733.14
238	98	10.3923	736.23
239	74	8.7178	739.32
240	77	8.8882	742.42
241	67	8.5440	745.51
242	68	8.2462	748.60
243	74	8.8318	751.70
244	57	7.9373	754.79
245	39	6.2450	757.88
246	40	6.9282	760.98
247	62	8.0000	764.07
248	39	6.8557	767.16
249	39	6.7082	770.26
250	30	5.6569	773.35
251	43	6.5574	776.44
252	49	7.4162	779.54
253	26	5.2915	782.63
254	29	5.3852	785.72
255	44	6.9282	788.82
256	33	5.7446	791.91
257	23	5.0000	795.00
258	31	5.7446	798.10
259	37	6.2450	801.19
260	26	5.8310	804.28
261	33	5.9161	807.38
262	27	5.7446	810.47
263	25	5.1962	813.56
264	34	5.8310	816.66
265	35	5.9161	819.75
266	20	4.8990	822.84
267	22	4.6904	825.94
268	17	4.5826	829.03
269	25	5.0000	832.12
270	26	5.2915	835.22
271	19	4.5826	838.31
272	23	5.0000	841.40
273	30	5.4772	844.50
274	21	4.5826	847.59
275	25	5.0000	850.68
276	18	4.2426	853.78
277	17	4.3589	856.87
278	19	4.5826	859.97
279	17	4.1231	863.06
280	18	4.4721	866.15
281	14	4.0000	869.25
282	16	4.6904	872.34
283	19	4.3589	875.43
284	17	4.1231	878.53
285	14	4.4721	881.62
286	12	3.7417	884.71
287	10	3.4641	887.81
288	11	3.8730	890.90
289	20	4.4721	893.99
290	7	3.3166	897.09
291	8	3.4641	900.18
292	11	3.3166	903.27
293	12	3.4641	906.37
294	17	4.3589	909.46
295	9	3.6056	912.55
296	11	3.6056	915.65
297	12	3.7417	918.74
298	0	1.4142	921.83
299	12	4.0000	924.93
300	4	2.4495	928.02
301	10	3.7417	931.11
302	11	3.3166	934.21
303	3	2.2361	937.30
304	12	3.4641	940.39
305	10	3.1623	943.49
306	8	2.8284	946.58
307	6	3.1623	949.67
308	2	2.8284	952.77
309	11	3.6056	955.86
310	7	2.6458	958.95
311	7	3.0000	962.05
312	0	2.4495	965.14
313	5	2.2361	968.23
314	5	2.6458	971.33
315	5	2.6458	974.42
316	7	2.6458	977.51
317	6	2.4495	980.61
318	0	1.7321	983.70
319	4	2.0000	986.79
320	4	2.4495	989.89
321	2	2.0000	992.98
322	1	1.7321	996.07
323	2	1.4142	999.17
324	3	1.7321	1002.26
325	5	2.2361	1005.36
326	3	1.7321	1008.45
327	3	1.7321	1011.54
328	3	1.7321	1014.64
329	4	2.0000	1017.73
330	4	2.0000	1020.82
331	2	1.4142	1023.92
332	2	1.4142	1027.01
333	2	1.4142	1030.10
334	0	0.0000	1033.20
335	4	2.0000	1036.29
336	2	1.4142	1039.38
337	1	1.0000	1042.48
338	1	1.7321	1045.57
339	1	1.0000	1048.66
340	3	1.7321	1051.76
341	2	1.4142	1054.85
342	0	1.4142	1057.94
343	2	1.4142	1061.04
344	1	1.0000	1064.13
345	1	1.0000	1067.22
346	1	1.0000	1070.32
347	0	1.7321	1073.41
348	1	1.7321	1076.50
349	1	1.0000	1079.60
350	1	1.7321	1082.69
351	0	0.0000	1085.78
352	0	0.0000	1088.88
353	2	1.4142	1091.97
354	1	1.0000	1095.06
355	0	0.0000	1098.16
356	0	1.0000	1101.25
357	0	1.4142	1104.34
358	0	1.0000	1107.44
359	0	1.0000	1110.53
360	1	1.0000	1113.62
361	0	0.0000	1116.72
362	0	0.0000	1119.81
363	0	0.0000	1122.90
364	0	1.0000	1126.00
365	0	0.0000	1129.09
366	0	1.0000	1132.18
367	0	0.0000	1135.28
368	0	0.0000	1138.37
369	0	1.4142	1141.46
370	0	1.0000	1144.56
371	0	0.0000	1147.65
372	1	1.0000	1150.74
373	3	2.2361	1153.84
374	1	1.0000	1156.93
375	0	0.0000	1160.02
376	0	0.0000	1163.12
377	0	1.4142	1166.21
378	1	1.0000	1169.31
379	0	0.0000	1172.40
380	0	0.0000	1175.49
381	0	1.4142	1178.59
382	0	0.0000	1181.68
383	0	0.0000	1184.77
384	0	1.4142	1187.87
385	0	1.4142	1190.96
386	0	0.0000	1194.05
387	0	0.0000	1197.15
388	0	0.0000	1200.24
389	0	0.0000	1203.33
390	0	0.0000	1206.43
391	2	1.4142	1209.52
392	0	0.0000	1212.61
393	0	0.0000	1215.71
394	0	0.0000	1218.80
395	0	1.0000	1221.89
396	0	0.0000	1224.99
397	0	0.0000	1228.08
