ChannelNumber	N(E)	W	P	G(Z,W)	Value	Energy(MeV)
0.0	0.0	1.0	0.0	28.26	0.0	0.0
1.0	0.0	1.00587084148728	0.10851796973003366	28.17791893151919	0.0	0.003
2.0	95.0	1.0117416829745598	0.15369200717081755	28.09827940516609	1.817407417824793	0.006
3.0	2251.0	1.0176125244618395	0.1885079572368173	28.01934561342382	8.807979798671795	0.009
4.0	1973.0	1.0234833659491194	0.21798669770088933	27.9408479044068	8.210374428350251	0.012
5.0	997.0	1.0293542074363993	0.2440698350206713	27.862797044397627	5.8112609748795	0.015
6.0	548.0	1.035225048923679	0.26775156753795765	27.78526550989815	4.2899105012396	0.018
7.0	354.0	1.0410958904109588	0.28962156865569827	27.708278676454388	3.4332555074086533	0.021
8.0	342.0	1.0469667318982387	0.31006344141429926	27.63184247375304	3.3602783122663826	0.024
9.0	357.0	1.0528375733855186	0.3293432190471018	27.55598076580476	3.418729945261681	0.027
10.0	368.0	1.0587084148727985	0.3476542934043441	27.480730388990466	3.456474909610394	0.03
11.0	425.0	1.0645792563600782	0.36514242847439277	27.40611526131509	3.699071496271949	0.033
12.0	334.0	1.0704500978473581	0.38192068807727425	27.332150438282227	3.2656520236785713	0.036
13.0	275.0	1.076320939334638	0.3980788420026837	27.25884535392955	2.951011008898837	0.039
14.0	399.0	1.0821917808219177	0.41368955809702707	27.186212784662505	3.5400374854083476	0.042
15.0	378.0	1.0880626223091976	0.42881262815636334	27.11430024757435	3.4315695703720803	0.045
16.0	470.0	1.0939334637964775	0.4434979404842363	27.043159205953188	3.8109154084158203	0.048
17.0	579.0	1.0998043052837574	0.45778762534682854	26.972832061220466	4.212700577414035	0.051
18.0	524.0	1.1056751467710373	0.471717638198059	26.903354255752344	3.9914884842827414	0.054
19.0	613.0	1.111545988258317	0.48531895080777404	26.83475582946381	4.299856655165895	0.057
20.0	530.0	1.1174168297455969	0.49861846275353694	26.767062580654994	3.9821935953603846	0.06
