ChannelNumber	N(E)	W	P	G(Z,W)	Value	Energy(MeV)
0.0	0.0	1.0	0.0	28.26	0.0	0.0
1.0	0.0	1.0060528375733855	0.11019215938287447	28.175433924638842	0.0	0.003093
2.0	95.0	1.0121076320939335	0.15608285922159734	28.09334280124538	1.8169099093959864	0.006187000000000001
3.0	2251.0	1.018160469667319	0.1914438350879329	28.012002789890524	8.80439331958439	0.00928
4.0	1973.0	1.024215264187867	0.221397622831462	27.931091040218956	8.205940213321236	0.012374000000000001
5.0	997.0	1.0302681017612525	0.24789586827281856	27.85069282865708	5.807367685562923	0.015467
6.0	548.0	1.036320939334638	0.271957881487973	27.770852961281026	4.2864858693398205	0.01856
7.0	354.0	1.042375733855186	0.29418900477437543	27.69156853896775	3.4300745585489336	0.021654
8.0	342.0	1.0484285714285715	0.31496423509305804	27.612897522181775	3.3567439494735574	0.024746999999999998
9.0	357.0	1.0544833659491193	0.3345671368550478	27.534822672431957	3.41470533269202	0.027841
10.0	368.0	1.060536203522505	0.3531813117676645	27.457431267800875	3.451981488809443	0.030934
11.0	425.0	1.0665890410958905	0.37096116048159433	27.380720862712693	3.6938130306080255	0.034027
12.0	334.0	1.0726438356164383	0.38802680073152757	27.304681194616823	3.2606121091198865	0.037121
13.0	275.0	1.0786966731898238	0.40445829544069606	27.229370388946364	2.946104909702211	0.040214
14.0	399.0	1.0847514677103718	0.42034003699362943	27.15476712256079	3.5337283448502537	0.043308
15.0	378.0	1.0908043052837573	0.4357224258924257	27.080978599663858	3.4250497136691544	0.046401000000000005
16.0	470.0	1.0968571428571428	0.4506612828241789	27.008032197632666	3.8032282461773317	0.049493999999999996
17.0	579.0	1.1029119373776908	0.465203978497832	26.93594732240866	4.2037058344430855	0.052588
18.0	524.0	1.1089647749510763	0.4793775882144378	26.864806209886613	3.982502306068576	0.055680999999999994
19.0	613.0	1.1150195694716243	0.4932227086263227	26.79459314132635	4.289672770517311	0.058775
20.0	530.0	1.1210724070450098	0.5067576756574014	26.72537581816042	3.9723029321348386	0.061868
21.0	603.0	1.1271252446183953	0.5200108816708333	26.657068068338116	4.219687493408493	0.064961
22.0	589.0	1.1331800391389433	0.5330075056722345	26.589512409475265	4.153397955761963	0.068055
23.0	629.0	1.1392328767123288	0.5457577735426662	26.522628752795033	4.27468906200928	0.071148
24.0	656.0	1.1452876712328768	0.5582865302674122	26.456263413892927	4.347835267648569	0.074242
25.0	624.0	1.1513405088062623	0.5706005320872588	26.39036028581655	4.223435344009695	0.07733499999999999
26.0	676.0	1.1573933463796477	0.5827172197935111	26.324808610503926	4.37834273934808	0.080428
27.0	765.0	1.1634481409001958	0.5946524838627364	26.25950650030822	4.639171284688602	0.083522
28.0	668.0	1.1695009784735813	0.606409546965303	26.194426798432275	4.318005508532363	0.086615
29.0	761.0	1.1755557729941293	0.618005967139335	26.129540214729598	4.590745380782921	0.089709
30.0	725.0	1.1816086105675148	0.6294433322923461	26.064966635293004	4.463409870752057	0.09280200000000001
31.0	710.0	1.1876614481409002	0.6407337320604716	26.00075931501748	4.399907024887933	0.095895
32.0	849.0	1.193716242661448	0.6518883861473258	25.936966624820478	4.792842418362559	0.09898900000000001
33.0	920.0	1.1997690802348338	0.6629071170892186	25.873693995271466	4.970121773573168	0.10208199999999999
34.0	782.0	1.2058238747553816	0.673803544759214	25.81096052948187	4.564754387693666	0.105176
35.0	828.0	1.2118767123287673	0.6845766325874567	25.74886302608352	4.6792656317144745	0.108269
36.0	923.0	1.2179295499021525	0.6952354914162969	25.687434003210072	4.9217360744389955	0.11136199999999999
37.0	921.0	1.2239843444227005	0.7057886903258426	25.6267016611869	4.8978738552099825	0.114456
38.0	868.0	1.230037181996086	0.716234227814388	25.566710859858453	4.737008815899549	0.117549
39.0	911.0	1.236091976516634	0.7265833568206741	25.5073941169773	4.834764836387545	0.120643
40.0	926.0	1.2421448140900195	0.7368335898767978	25.44876183255886	4.8562376775844704	0.123736
41.0	1038.0	1.248197651663405	0.7469922205873626	25.39076856904133	5.122446038304801	0.126829
42.0	990.0	1.254252446183953	0.7570661785857495	25.33337134342344	4.98409309887481	0.129923
43.0	983.0	1.2603052837573385	0.7670524155927452	25.276584213729524	4.948138072007069	0.133016
44.0	1021.0	1.2663600782778865	0.776960647559434	25.220348775390473	5.024352670725766	0.13611
45.0	975.0	1.272412915851272	0.7867875370296203	25.164680963336025	4.891910745668553	0.139203
46.0	995.0	1.2784657534246575	0.7965391909251404	25.109543260156443	4.923829827885585	0.142296
47.0	1015.0	1.2845205479452053	0.8062214572271383	25.05489970618987	4.955022500428477	0.14539
48.0	1142.0	1.290573385518591	0.8158306585370017	25.000765740717004	5.236892895433214	0.148483
49.0	1081.0	1.2966281800391388	0.8253754523073784	24.947085802550315	5.076769908461149	0.151577
50.0	1034.0	1.3026810176125245	0.8348519830772413	24.893875036948348	4.947387552602005	0.15466999999999997
51.0	1105.0	1.30873385518591	0.8442655409939307	24.841097425247693	5.096175935869637	0.15776300000000001
52.0	1145.0	1.314788649706458	0.8536212236097057	24.788718397914113	5.169157442611326	0.160857
53.0	1003.0	1.3208414872798433	0.8629149636665414	24.736754930815014	4.820903093943723	0.16394999999999998
54.0	1082.0	1.3268962818003915	0.8721546552393699	24.685157305929188	4.9895192638183286	0.167044
55.0	1112.0	1.3329491193737768	0.88133611910515	24.633943487476852	5.040479481286975	0.170137
56.0	1173.0	1.3390019569471625	0.8904640591895503	24.583082027169684	5.158811142368419	0.17323
57.0	1208.0	1.3450567514677103	0.8995430310267929	24.532542564220602	5.2170089032793	0.176324
58.0	1176.0	1.351109589041096	0.9085687214508319	24.482347151891478	5.129636119740295	0.179417
59.0	1093.0	1.3571643835616438	0.9175484532210038	24.43246645972954	4.928264081994857	0.182511
60.0	1154.0	1.3632172211350293	0.9264778421522618	24.382939700033944	5.04655264730568	0.18560400000000002
61.0	1191.0	1.3692700587084148	0.9353611568134235	24.33375755627074	5.109309140984818	0.188697
62.0	1146.0	1.3753248532289628	0.9442025481374576	24.284911056312676	4.9948075452622165	0.191791
63.0	1154.0	1.3813776908023483	0.9529975470306459	24.23643844003702	4.9952366332922775	0.19488399999999997
64.0	1122.0	1.3874324853228963	0.9617530355186142	24.188314942967217	4.90887261437984	0.19797800000000002
65.0	1165.0	1.3934853228962818	0.9704644996739216	24.140578165613444	4.985247567706672	0.201071
66.0	1137.0	1.3995381604696673	0.9791358754589784	24.09321890791256	4.9084918519582335	0.20416399999999998
67.0	1115.0	1.4055929549902153	0.9877710033798954	24.0462283846713	4.844560436297964	0.207258
68.0	1220.0	1.4116457925636008	0.9963653163687085	23.99964324358533	5.050702455402809	0.210351
69.0	1139.0	1.4177005870841488	1.0049253477839735	23.953439058577207	4.8639981974207815	0.213445
70.0	1184.0	1.4237534246575343	1.013446502892016	23.907642937281235	4.942796027600981	0.216538
71.0	1190.0	1.4298062622309198	1.021932457413284	23.862230438060323	4.939019810850977	0.219631
72.0	1240.0	1.4358610567514676	1.0303868080946306	23.817177737305077	5.025199142400059	0.222725
73.0	1189.0	1.4419138943248533	1.0388049281010676	23.772504945046965	4.904718959881374	0.22581800000000002
74.0	1157.0	1.447968688845401	1.0471930690549236	23.72817445499028	4.8225345242503	0.228912
75.0	1193.0	1.4540215264187868	1.0555465879293147	23.684206488835578	4.881125412141917	0.232005
76.0	1152.0	1.4600743639921723	1.0638689526380336	23.640578498219874	4.7810382033088095	0.235098
77.0	1181.0	1.4661291585127203	1.0721635646864789	23.597268630472705	4.825272554513798	0.23819200000000001
78.0	1185.0	1.4721819960861056	1.0804257631138152	23.55429721597079	4.817953426384121	0.241285
79.0	1139.0	1.4782367906066536	1.0886615677532936	23.511629032351284	4.7084340829341045	0.24437899999999999
80.0	1268.0	1.484289628180039	1.0968663092295428	23.469284450086484	4.952118742480325	0.247472
81.0	1176.0	1.4903424657534248	1.1050432865856423	23.427242630991223	4.753976129564763	0.250565
82.0	1101.0	1.4963972602739726	1.113195742246372	23.385483331271313	4.585361497222589	0.25365899999999997
83.0	1122.0	1.5024500978473583	1.121318998555512	23.344026942618946	4.614328234070695	0.25675200000000004
84.0	1171.0	1.508504892367906	1.129418881681154	23.30284023908582	4.699236426537623	0.259846
85.0	1072.0	1.5145577299412918	1.1374907108741237	23.261943605167392	4.482172447081534	0.26293900000000003
86.0	1184.0	1.520610567514677	1.1455376458402877	23.221317616169188	4.695852181957785	0.266032
87.0	1148.0	1.5266653620352248	1.1535627974402367	23.18094336033288	4.609581935339364	0.269126
