ChannelNumber N(E) W P G(Z,W) Value Energy(MeV) Momentum(MeV/c) N(p)
68.000000 1220.000000 1.411646 0.996365 23.999643 5.050702 0.210351 0.210351 1220.000000
69.000000 1139.000000 1.417701 1.004925 23.953439 4.863998 0.213445 0.213445 1139.000000
70.000000 1184.000000 1.423753 1.013447 23.907643 4.942796 0.216538 0.216538 1184.000000
71.000000 1190.000000 1.429806 1.021932 23.862230 4.939020 0.219631 0.219631 1190.000000
72.000000 1240.000000 1.435861 1.030387 23.817178 5.025199 0.222725 0.222725 1240.000000
73.000000 1189.000000 1.441914 1.038805 23.772505 4.904719 0.225818 0.225818 1189.000000
74.000000 1157.000000 1.447969 1.047193 23.728174 4.822535 0.228912 0.228912 1157.000000
75.000000 1193.000000 1.454022 1.055547 23.684206 4.881125 0.232005 0.232005 1193.000000
76.000000 1152.000000 1.460074 1.063869 23.640578 4.781038 0.235098 0.235098 1152.000000
77.000000 1181.000000 1.466129 1.072164 23.597269 4.825273 0.238192 0.238192 1181.000000
78.000000 1185.000000 1.472182 1.080426 23.554297 4.817953 0.241285 0.241285 1185.000000
79.000000 1139.000000 1.478237 1.088662 23.511629 4.708434 0.244379 0.244379 1139.000000
80.000000 1268.000000 1.484290 1.096866 23.469284 4.952119 0.247472 0.247472 1268.000000
81.000000 1176.000000 1.490342 1.105043 23.427243 4.753976 0.250565 0.250565 1176.000000
82.000000 1101.000000 1.496397 1.113196 23.385483 4.585361 0.253659 0.253659 1101.000000
83.000000 1122.000000 1.502450 1.121319 23.344027 4.614328 0.256752 0.256752 1122.000000
84.000000 1171.000000 1.508505 1.129419 23.302840 4.699236 0.259846 0.259846 1171.000000
85.000000 1072.000000 1.514558 1.137491 23.261944 4.482172 0.262939 0.262939 1072.000000
86.000000 1184.000000 1.520611 1.145538 23.221318 4.695852 0.266032 0.266032 1184.000000
87.000000 1148.000000 1.526665 1.153563 23.180943 4.609582 0.269126 0.269126 1148.000000
88.000000 1119.000000 1.532718 1.161561 23.140841 4.536941 0.272219 0.272219 1119.000000
89.000000 1164.000000 1.538773 1.169539 23.100980 4.613035 0.275313 0.275313 1164.000000
90.000000 1118.000000 1.544826 1.177492 23.061379 4.507116 0.278406 0.278406 1118.000000
91.000000 1142.000000 1.550879 1.185422 23.022021 4.541335 0.281499 0.281499 1142.000000
92.000000 1093.000000 1.556933 1.193332 22.982887 4.429327 0.284593 0.284593 1093.000000
93.000000 1016.000000 1.562986 1.201219 22.943999 4.257524 0.287686 0.287686 1016.000000
94.000000 1063.000000 1.569041 1.209086 22.905327 4.341743 0.290780 0.290780 1063.000000
95.000000 1156.000000 1.575094 1.216931 22.866894 4.514076 0.293873 0.293873 1156.000000
96.000000 1194.000000 1.581147 1.224755 22.828687 4.573930 0.296966 0.296966 1194.000000
97.000000 1118.000000 1.587202 1.232562 22.790692 4.412757 0.300060 0.300060 1118.000000
98.000000 1081.000000 1.593254 1.240347 22.752934 4.326224 0.303153 0.303153 1081.000000
99.000000 1014.000000 1.599309 1.248115 22.715387 4.177596 0.306247 0.306247 1014.000000
100.000000 1061.000000 1.605362 1.255861 22.678075 4.260706 0.309340 0.309340 1061.000000
101.000000 1065.000000 1.611415 1.263589 22.640983 4.256178 0.312433 0.312433 1065.000000
102.000000 1070.000000 1.617470 1.271302 22.604101 4.253654 0.315527 0.315527 1070.000000
103.000000 1038.000000 1.623523 1.278994 22.567450 4.177333 0.318620 0.318620 1038.000000
104.000000 1047.000000 1.629577 1.286671 22.531008 4.183195 0.321714 0.321714 1047.000000
105.000000 970.000000 1.635630 1.294328 22.494795 4.014761 0.324807 0.324807 970.000000
106.000000 939.000000 1.641683 1.301969 22.458801 3.938676 0.327900 0.327900 939.000000
107.000000 1015.000000 1.647738 1.309595 22.423013 4.083175 0.330994 0.330994 1015.000000
108.000000 957.000000 1.653791 1.317203 22.387453 3.953421 0.334087 0.334087 957.000000
109.000000 938.000000 1.659845 1.324797 22.352099 3.902785 0.337181 0.337181 938.000000
110.000000 992.000000 1.665898 1.332373 22.316972 4.002117 0.340274 0.340274 992.000000
111.000000 950.000000 1.671951 1.339933 22.282061 3.905355 0.343367 0.343367 950.000000
112.000000 955.000000 1.678006 1.347481 22.247354 3.904532 0.346461 0.346461 955.000000
113.000000 969.000000 1.684059 1.355011 22.212874 3.921952 0.349554 0.349554 969.000000
114.000000 910.000000 1.690114 1.362528 22.178597 3.789988 0.352648 0.352648 910.000000
115.000000 907.000000 1.696166 1.370029 22.144545 3.773130 0.355741 0.355741 907.000000
116.000000 905.000000 1.702219 1.377516 22.110708 3.758439 0.358834 0.358834 905.000000
117.000000 875.000000 1.708274 1.384991 22.077073 3.685325 0.361928 0.361928 875.000000
118.000000 834.000000 1.714327 1.392450 22.043663 3.587959 0.365021 0.365021 834.000000
119.000000 843.000000 1.720382 1.399897 22.010456 3.597282 0.368115 0.368115 843.000000
120.000000 897.000000 1.726434 1.407329 21.977473 3.700473 0.371208 0.371208 897.000000
121.000000 818.000000 1.732487 1.414748 21.944699 3.524048 0.374301 0.374301 818.000000
122.000000 804.000000 1.738542 1.422156 21.912120 3.484180 0.377395 0.377395 804.000000
