ChannelNumber N(E) W P G(Z,W) Value Energy(MeV) Momentum(MeV/c) N(p)
302.000000 2.000000 2.828194 2.645502 17.917722 0.118131 0.934207 0.934207 2.000000
303.000000 0.000000 2.834247 2.651972 17.901853 0.000000 0.937300 0.937300 0.000000
304.000000 0.000000 2.840301 2.658442 17.886012 0.000000 0.940394 0.940394 0.000000
305.000000 2.000000 2.846354 2.664908 17.870212 0.117533 0.943487 0.943487 2.000000
306.000000 0.000000 2.852407 2.671372 17.854449 0.000000 0.946580 0.946580 0.000000
307.000000 0.000000 2.858462 2.677836 17.838719 0.000000 0.949674 0.949674 0.000000
308.000000 0.000000 2.864515 2.684296 17.823035 0.000000 0.952767 0.952767 0.000000
309.000000 0.000000 2.870569 2.690756 17.807387 0.000000 0.955861 0.955861 0.000000
310.000000 1.000000 2.876622 2.697213 17.791787 0.082415 0.958954 0.958954 1.000000
311.000000 0.000000 2.882675 2.703667 17.776232 0.000000 0.962047 0.962047 0.000000
312.000000 0.000000 2.888730 2.710122 17.760719 0.000000 0.965141 0.965141 0.000000
313.000000 0.000000 2.894783 2.716573 17.745259 0.000000 0.968234 0.968234 0.000000
314.000000 0.000000 2.900838 2.723024 17.729844 0.000000 0.971328 0.971328 0.000000
315.000000 0.000000 2.906890 2.729471 17.714485 0.000000 0.974421 0.974421 0.000000
316.000000 0.000000 2.912943 2.735916 17.699179 0.000000 0.977514 0.977514 0.000000
317.000000 1.000000 2.918998 2.742362 17.683922 0.081466 0.980608 0.980608 1.000000
318.000000 0.000000 2.925051 2.748804 17.668727 0.000000 0.983701 0.983701 0.000000
319.000000 2.000000 2.931106 2.755246 17.653584 0.114833 0.986795 0.986795 2.000000
320.000000 0.000000 2.937159 2.761684 17.638505 0.000000 0.989888 0.989888 0.000000
321.000000 0.000000 2.943211 2.768121 17.623487 0.000000 0.992981 0.992981 0.000000
322.000000 0.000000 2.949266 2.774558 17.608527 0.000000 0.996075 0.996075 0.000000
323.000000 0.000000 2.955319 2.780991 17.593636 0.000000 0.999168 0.999168 0.000000
324.000000 0.000000 2.961374 2.787424 17.578805 0.000000 1.002262 1.002262 0.000000
325.000000 1.000000 2.967427 2.793854 17.564047 0.080410 1.005355 1.005355 1.000000
326.000000 1.000000 2.973479 2.800282 17.549357 0.080279 1.008448 1.008448 1.000000
327.000000 0.000000 2.979534 2.806711 17.534732 0.000000 1.011542 1.011542 0.000000
328.000000 0.000000 2.985587 2.813135 17.520180 0.000000 1.014635 1.014635 0.000000
329.000000 1.000000 2.991642 2.819560 17.505692 0.079892 1.017729 1.017729 1.000000
330.000000 1.000000 2.997695 2.825982 17.491274 0.079763 1.020822 1.020822 1.000000
331.000000 0.000000 3.003748 2.832402 17.476922 0.000000 1.023915 1.023915 0.000000
332.000000 1.000000 3.009802 2.838822 17.462629 0.079507 1.027009 1.027009 1.000000
333.000000 0.000000 3.015855 2.845239 17.448403 0.000000 1.030102 1.030102 0.000000
334.000000 0.000000 3.021910 2.851656 17.434234 0.000000 1.033196 1.033196 0.000000
335.000000 0.000000 3.027963 2.858069 17.420129 0.000000 1.036289 1.036289 0.000000
336.000000 1.000000 3.034016 2.864481 17.406083 0.079001 1.039382 1.039382 1.000000
337.000000 1.000000 3.040070 2.870893 17.392090 0.078875 1.042476 1.042476 1.000000
338.000000 0.000000 3.046123 2.877302 17.378158 0.000000 1.045569 1.045569 0.000000
339.000000 0.000000 3.052178 2.883711 17.364276 0.000000 1.048663 1.048663 0.000000
340.000000 1.000000 3.058231 2.890117 17.350453 0.078501 1.051756 1.051756 1.000000
341.000000 0.000000 3.064284 2.896521 17.336682 0.000000 1.054849 1.054849 0.000000
342.000000 0.000000 3.070339 2.902926 17.322958 0.000000 1.057943 1.057943 0.000000
343.000000 0.000000 3.076391 2.909327 17.309288 0.000000 1.061036 1.061036 0.000000
344.000000 1.000000 3.082446 2.915729 17.295663 0.078007 1.064130 1.064130 1.000000
345.000000 0.000000 3.088499 2.922127 17.282090 0.000000 1.067223 1.067223 0.000000
346.000000 0.000000 3.094552 2.928524 17.268563 0.000000 1.070316 1.070316 0.000000
347.000000 0.000000 3.100607 2.934921 17.255076 0.000000 1.073410 1.073410 0.000000
348.000000 0.000000 3.106659 2.941315 17.241639 0.000000 1.076503 1.076503 0.000000
349.000000 1.000000 3.112714 2.947709 17.228239 0.077400 1.079597 1.079597 1.000000
350.000000 0.000000 3.118767 2.954100 17.214885 0.000000 1.082690 1.082690 0.000000
351.000000 1.000000 3.124820 2.960490 17.201571 0.077160 1.085783 1.085783 1.000000
352.000000 1.000000 3.130875 2.966880 17.188292 0.077040 1.088877 1.088877 1.000000
353.000000 1.000000 3.136928 2.973267 17.175055 0.076921 1.091970 1.091970 1.000000
354.000000 0.000000 3.142982 2.979654 17.161851 0.000000 1.095064 1.095064 0.000000
355.000000 0.000000 3.149035 2.986038 17.148686 0.000000 1.098157 1.098157 0.000000
356.000000 0.000000 3.155088 2.992421 17.135554 0.000000 1.101250 1.101250 0.000000
357.000000 0.000000 3.161143 2.998804 17.122452 0.000000 1.104344 1.104344 0.000000
358.000000 0.000000 3.167196 3.005184 17.109386 0.000000 1.107437 1.107437 0.000000
359.000000 0.000000 3.173250 3.011564 17.096347 0.000000 1.110531 1.110531 0.000000
360.000000 1.000000 3.179303 3.017941 17.083343 0.076099 1.113624 1.113624 1.000000
361.000000 0.000000 3.185356 3.024317 17.070371 0.000000 1.116717 1.116717 0.000000
362.000000 1.000000 3.191411 3.030694 17.057425 0.075868 1.119811 1.119811 1.000000
363.000000 4.000000 3.197464 3.037067 17.044515 0.151507 1.122904 1.122904 4.000000
364.000000 0.000000 3.203519 3.043441 17.031632 0.000000 1.125998 1.125998 0.000000
365.000000 0.000000 3.209571 3.049811 17.018783 0.000000 1.129091 1.129091 0.000000
366.000000 0.000000 3.215624 3.056181 17.005966 0.000000 1.132184 1.132184 0.000000
367.000000 0.000000 3.221679 3.062551 16.993175 0.000000 1.135278 1.135278 0.000000
368.000000 0.000000 3.227732 3.068917 16.980420 0.000000 1.138371 1.138371 0.000000
369.000000 0.000000 3.233787 3.075285 16.967690 0.000000 1.141465 1.141465 0.000000
370.000000 0.000000 3.239840 3.081649 16.954996 0.000000 1.144558 1.144558 0.000000
371.000000 0.000000 3.245892 3.088012 16.942332 0.000000 1.147651 1.147651 0.000000
372.000000 0.000000 3.251947 3.094376 16.929694 0.000000 1.150745 1.150745 0.000000
373.000000 0.000000 3.258000 3.100736 16.917090 0.000000 1.153838 1.153838 0.000000
374.000000 0.000000 3.264055 3.107097 16.904513 0.000000 1.156932 1.156932 0.000000
375.000000 0.000000 3.270108 3.113455 16.891970 0.000000 1.160025 1.160025 0.000000
376.000000 0.000000 3.276160 3.119812 16.879458 0.000000 1.163118 1.163118 0.000000
377.000000 1.000000 3.282215 3.126170 16.866971 0.074185 1.166212 1.166212 1.000000
378.000000 1.000000 3.288268 3.132524 16.854518 0.074076 1.169305 1.169305 1.000000
379.000000 0.000000 3.294323 3.138879 16.842091 0.000000 1.172399 1.172399 0.000000
380.000000 1.000000 3.300376 3.145231 16.829698 0.073858 1.175492 1.175492 1.000000
381.000000 0.000000 3.306429 3.151582 16.817335 0.000000 1.178585 1.178585 0.000000
382.000000 1.000000 3.312483 3.157934 16.804998 0.073642 1.181679 1.181679 1.000000
383.000000 0.000000 3.318536 3.164282 16.792694 0.000000 1.184772 1.184772 0.000000
384.000000 0.000000 3.324591 3.170632 16.780416 0.000000 1.187866 1.187866 0.000000
385.000000 0.000000 3.330644 3.176978 16.768171 0.000000 1.190959 1.190959 0.000000
386.000000 0.000000 3.336697 3.183323 16.755956 0.000000 1.194052 1.194052 0.000000
387.000000 1.000000 3.342751 3.189669 16.743766 0.073109 1.197146 1.197146 1.000000
388.000000 0.000000 3.348804 3.196012 16.731610 0.000000 1.200239 1.200239 0.000000
389.000000 1.000000 3.354859 3.202355 16.719478 0.072898 1.203333 1.203333 1.000000
390.000000 0.000000 3.360912 3.208696 16.707380 0.000000 1.206426 1.206426 0.000000
391.000000 0.000000 3.366965 3.215035 16.695311 0.000000 1.209519 1.209519 0.000000
392.000000 1.000000 3.373020 3.221376 16.683267 0.072584 1.212613 1.212613 1.000000
393.000000 1.000000 3.379072 3.227713 16.671256 0.072480 1.215706 1.215706 1.000000
394.000000 0.000000 3.385127 3.234051 16.659270 0.000000 1.218800 1.218800 0.000000
395.000000 0.000000 3.391180 3.240386 16.647317 0.000000 1.221893 1.221893 0.000000
396.000000 0.000000 3.397233 3.246720 16.635392 0.000000 1.224986 1.224986 0.000000
397.000000 1.000000 3.403288 3.253055 16.623492 0.072068 1.228080 1.228080 1.000000
398.000000 1.000000 3.409341 3.259387 16.611625 0.071965 1.231173 1.231173 1.000000
399.000000 0.000000 3.415395 3.265720 16.599782 0.000000 1.234267 1.234267 0.000000
400.000000 0.000000 3.421448 3.272049 16.587972 0.000000 1.237360 1.237360 0.000000
401.000000 0.000000 3.427501 3.278378 16.576191 0.000000 1.240453 1.240453 0.000000
402.000000 1.000000 3.433556 3.284708 16.564433 0.071560 1.243547 1.243547 1.000000
403.000000 0.000000 3.439609 3.291034 16.552708 0.000000 1.246640 1.246640 0.000000
404.000000 0.000000 3.445663 3.297362 16.541008 0.000000 1.249734 1.249734 0.000000
405.000000 0.000000 3.451716 3.303687 16.529339 0.000000 1.252827 1.252827 0.000000
406.000000 0.000000 3.457769 3.310010 16.517699 0.000000 1.255920 1.255920 0.000000
407.000000 0.000000 3.463824 3.316335 16.506082 0.000000 1.259014 1.259014 0.000000
408.000000 1.000000 3.469877 3.322656 16.494498 0.070960 1.262107 1.262107 1.000000
409.000000 0.000000 3.475932 3.328979 16.482938 0.000000 1.265201 1.265201 0.000000
410.000000 0.000000 3.481984 3.335298 16.471409 0.000000 1.268294 1.268294 0.000000
411.000000 0.000000 3.488037 3.341617 16.459908 0.000000 1.271387 1.271387 0.000000
412.000000 0.000000 3.494092 3.347936 16.448431 0.000000 1.274481 1.274481 0.000000
413.000000 0.000000 3.500145 3.354253 16.436986 0.000000 1.277574 1.277574 0.000000
414.000000 0.000000 3.506200 3.360571 16.425564 0.000000 1.280668 1.280668 0.000000
415.000000 0.000000 3.512252 3.366885 16.414174 0.000000 1.283761 1.283761 0.000000
416.000000 0.000000 3.518305 3.373199 16.402812 0.000000 1.286854 1.286854 0.000000
417.000000 0.000000 3.524360 3.379514 16.391473 0.000000 1.289948 1.289948 0.000000
418.000000 0.000000 3.530413 3.385826 16.380165 0.000000 1.293041 1.293041 0.000000
419.000000 0.000000 3.536468 3.392139 16.368880 0.000000 1.296135 1.296135 0.000000
420.000000 0.000000 3.542521 3.398448 16.357627 0.000000 1.299228 1.299228 0.000000
421.000000 0.000000 3.548573 3.404757 16.346401 0.000000 1.302321 1.302321 0.000000
422.000000 0.000000 3.554628 3.411068 16.335198 0.000000 1.305415 1.305415 0.000000
423.000000 0.000000 3.560681 3.417375 16.324026 0.000000 1.308508 1.308508 0.000000
424.000000 0.000000 3.566736 3.423683 16.312878 0.000000 1.311602 1.311602 0.000000
425.000000 0.000000 3.572789 3.429988 16.301760 0.000000 1.314695 1.314695 0.000000
426.000000 0.000000 3.578841 3.436293 16.290669 0.000000 1.317788 1.317788 0.000000
427.000000 0.000000 3.584896 3.442598 16.279601 0.000000 1.320882 1.320882 0.000000
428.000000 0.000000 3.590949 3.448901 16.268563 0.000000 1.323975 1.323975 0.000000
429.000000 0.000000 3.597004 3.455204 16.257549 0.000000 1.327069 1.327069 0.000000
430.000000 1.000000 3.603057 3.461505 16.246565 0.068857 1.330162 1.330162 1.000000
431.000000 0.000000 3.609110 3.467805 16.235607 0.000000 1.333255 1.333255 0.000000
432.000000 0.000000 3.615164 3.474106 16.224673 0.000000 1.336349 1.336349 0.000000
433.000000 0.000000 3.621217 3.480404 16.213768 0.000000 1.339442 1.339442 0.000000
434.000000 0.000000 3.627272 3.486704 16.202887 0.000000 1.342536 1.342536 0.000000
435.000000 0.000000 3.633325 3.493000 16.192035 0.000000 1.345629 1.345629 0.000000
436.000000 0.000000 3.639378 3.499296 16.181210 0.000000 1.348722 1.348722 0.000000
437.000000 0.000000 3.645432 3.505592 16.170407 0.000000 1.351816 1.351816 0.000000
438.000000 1.000000 3.651485 3.511886 16.159634 0.068126 1.354909 1.354909 1.000000
439.000000 0.000000 3.657540 3.518181 16.148883 0.000000 1.358003 1.358003 0.000000
440.000000 0.000000 3.663593 3.524473 16.138162 0.000000 1.361096 1.361096 0.000000
441.000000 0.000000 3.669646 3.530765 16.127467 0.000000 1.364189 1.364189 0.000000
442.000000 0.000000 3.675701 3.537057 16.116794 0.000000 1.367283 1.367283 0.000000
443.000000 0.000000 3.681753 3.543347 16.106149 0.000000 1.370376 1.370376 0.000000
444.000000 0.000000 3.687808 3.549638 16.095527 0.000000 1.373470 1.373470 0.000000
445.000000 0.000000 3.693861 3.555926 16.084933 0.000000 1.376563 1.376563 0.000000
446.000000 0.000000 3.699914 3.562213 16.074364 0.000000 1.379656 1.379656 0.000000
447.000000 0.000000 3.705969 3.568502 16.063817 0.000000 1.382750 1.382750 0.000000
448.000000 0.000000 3.712022 3.574787 16.053298 0.000000 1.385843 1.385843 0.000000
449.000000 0.000000 3.718076 3.581074 16.042800 0.000000 1.388937 1.388937 0.000000
450.000000 0.000000 3.724129 3.587358 16.032330 0.000000 1.392030 1.392030 0.000000
451.000000 0.000000 3.730182 3.593641 16.021885 0.000000 1.395123 1.395123 0.000000
452.000000 0.000000 3.736237 3.599926 16.011461 0.000000 1.398217 1.398217 0.000000
453.000000 0.000000 3.742290 3.606207 16.001064 0.000000 1.401310 1.401310 0.000000
454.000000 0.000000 3.748344 3.612490 15.990687 0.000000 1.404404 1.404404 0.000000
455.000000 0.000000 3.754397 3.618770 15.980339 0.000000 1.407497 1.407497 0.000000
456.000000 0.000000 3.760450 3.625050 15.970013 0.000000 1.410590 1.410590 0.000000
457.000000 0.000000 3.766505 3.631330 15.959708 0.000000 1.413684 1.413684 0.000000
458.000000 0.000000 3.772558 3.637608 15.949430 0.000000 1.416777 1.416777 0.000000
459.000000 1.000000 3.778613 3.643887 15.939172 0.066288 1.419871 1.419871 1.000000
460.000000 0.000000 3.784665 3.650163 15.928941 0.000000 1.422964 1.422964 0.000000
461.000000 0.000000 3.790718 3.656439 15.918733 0.000000 1.426057 1.426057 0.000000
462.000000 0.000000 3.796773 3.662716 15.908544 0.000000 1.429151 1.429151 0.000000
463.000000 0.000000 3.802826 3.668990 15.898382 0.000000 1.432244 1.432244 0.000000
464.000000 0.000000 3.808881 3.675265 15.888239 0.000000 1.435338 1.435338 0.000000
465.000000 0.000000 3.814933 3.681537 15.878122 0.000000 1.438431 1.438431 0.000000
466.000000 0.000000 3.820986 3.687809 15.868027 0.000000 1.441524 1.441524 0.000000
467.000000 0.000000 3.827041 3.694082 15.857952 0.000000 1.444618 1.444618 0.000000
468.000000 0.000000 3.833094 3.700353 15.847902 0.000000 1.447711 1.447711 0.000000
469.000000 0.000000 3.839149 3.706624 15.837871 0.000000 1.450805 1.450805 0.000000
470.000000 0.000000 3.845202 3.712893 15.827865 0.000000 1.453898 1.453898 0.000000
471.000000 0.000000 3.851254 3.719161 15.817881 0.000000 1.456991 1.456991 0.000000
472.000000 0.000000 3.857309 3.725431 15.807916 0.000000 1.460085 1.460085 0.000000
473.000000 0.000000 3.863362 3.731697 15.797975 0.000000 1.463178 1.463178 0.000000
474.000000 0.000000 3.869417 3.737966 15.788053 0.000000 1.466272 1.466272 0.000000
475.000000 0.000000 3.875470 3.744231 15.778155 0.000000 1.469365 1.469365 0.000000
476.000000 0.000000 3.881523 3.750496 15.768279 0.000000 1.472458 1.472458 0.000000
477.000000 0.000000 3.887577 3.756762 15.758420 0.000000 1.475552 1.475552 0.000000
478.000000 0.000000 3.893630 3.763025 15.748585 0.000000 1.478645 1.478645 0.000000
479.000000 0.000000 3.899685 3.769289 15.738769 0.000000 1.481739 1.481739 0.000000
480.000000 0.000000 3.905738 3.775551 15.728976 0.000000 1.484832 1.484832 0.000000
481.000000 0.000000 3.911791 3.781812 15.719204 0.000000 1.487925 1.487925 0.000000
482.000000 0.000000 3.917845 3.788075 15.709449 0.000000 1.491019 1.491019 0.000000
483.000000 0.000000 3.923898 3.794335 15.699717 0.000000 1.494112 1.494112 0.000000
484.000000 0.000000 3.929953 3.800596 15.690003 0.000000 1.497206 1.497206 0.000000
485.000000 0.000000 3.936006 3.806855 15.680312 0.000000 1.500299 1.500299 0.000000
486.000000 0.000000 3.942059 3.813112 15.670641 0.000000 1.503392 1.503392 0.000000
487.000000 0.000000 3.948114 3.819372 15.660986 0.000000 1.506486 1.506486 0.000000
488.000000 0.000000 3.954166 3.825628 15.651355 0.000000 1.509579 1.509579 0.000000
489.000000 0.000000 3.960221 3.831886 15.641740 0.000000 1.512673 1.512673 0.000000
490.000000 0.000000 3.966274 3.838141 15.632147 0.000000 1.515766 1.515766 0.000000
491.000000 0.000000 3.972327 3.844396 15.622574 0.000000 1.518859 1.518859 0.000000
492.000000 0.000000 3.978382 3.850652 15.613017 0.000000 1.521953 1.521953 0.000000
493.000000 0.000000 3.984434 3.856905 15.603483 0.000000 1.525046 1.525046 0.000000
494.000000 0.000000 3.990489 3.863160 15.593964 0.000000 1.528140 1.528140 0.000000
495.000000 0.000000 3.996542 3.869412 15.584467 0.000000 1.531233 1.531233 0.000000
496.000000 0.000000 4.002595 3.875663 15.574989 0.000000 1.534326 1.534326 0.000000
497.000000 0.000000 4.008650 3.881916 15.565526 0.000000 1.537420 1.537420 0.000000
498.000000 0.000000 4.014703 3.888166 15.556086 0.000000 1.540513 1.540513 0.000000
499.000000 0.000000 4.020757 3.894418 15.546660 0.000000 1.543607 1.543607 0.000000
500.000000 0.000000 4.026810 3.900667 15.537256 0.000000 1.546700 1.546700 0.000000
501.000000 0.000000 4.032863 3.906915 15.527869 0.000000 1.549793 1.549793 0.000000
502.000000 0.000000 4.038918 3.913165 15.518498 0.000000 1.552887 1.552887 0.000000
503.000000 0.000000 4.044971 3.919412 15.509148 0.000000 1.555980 1.555980 0.000000
504.000000 0.000000 4.051025 3.925660 15.499813 0.000000 1.559074 1.559074 0.000000
505.000000 0.000000 4.057078 3.931906 15.490498 0.000000 1.562167 1.562167 0.000000
506.000000 0.000000 4.063131 3.938151 15.481201 0.000000 1.565260 1.565260 0.000000
507.000000 0.000000 4.069186 3.944398 15.471918 0.000000 1.568354 1.568354 0.000000
508.000000 0.000000 4.075239 3.950642 15.462655 0.000000 1.571447 1.571447 0.000000
509.000000 0.000000 4.081294 3.956887 15.453407 0.000000 1.574541 1.574541 0.000000
510.000000 0.000000 4.087346 3.963130 15.444178 0.000000 1.577634 1.577634 0.000000
511.000000 0.000000 4.093399 3.969372 15.434967 0.000000 1.580727 1.580727 0.000000
